更新时间: 2025-11-28 18:46:29（北京时间）

更新时间,#genre#
2025-11-28 18:46:29,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
江苏卫视,http://123.113.182.104:8001/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://116.235.252.22:8888/rtp/239.45.3.177:5140$上海市电信
江苏卫视,http://116.235.252.22:8888/rtp/233.18.204.85:5140$上海市电信
江苏卫视,http://58.38.126.237:4022/rtp/239.45.3.177:5140$上海市电信
江苏卫视,http://58.38.126.237:4022/rtp/233.18.204.85:5140$上海市电信
东方卫视,http://123.113.182.104:8001/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://123.113.182.104:8001/rtp/239.3.1.119:3006$北京市联通
东方卫视,http://116.235.252.22:8888/rtp/239.45.3.146:5140$上海市电信
东方卫视,http://116.235.252.22:8888/rtp/233.18.204.51:5140$上海市电信
东方卫视,http://116.235.252.22:8888/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://58.38.126.237:4022/rtp/239.45.3.146:5140$上海市电信
东方卫视,http://58.38.126.237:4022/rtp/233.18.204.51:5140$上海市电信
东方卫视,http://58.38.126.237:4022/rtp/233.18.204.224:5140$上海市电信
深圳卫视,http://123.113.182.104:8001/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://123.113.182.104:8001/rtp/239.3.1.202:2000$北京市联通
深圳卫视,http://116.235.252.22:8888/rtp/239.45.3.231:5140$上海市电信
深圳卫视,http://116.235.252.22:8888/rtp/233.18.204.89:5140$上海市电信
深圳卫视,http://116.235.252.22:8888/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://58.38.126.237:4022/rtp/239.45.3.231:5140$上海市电信
深圳卫视,http://58.38.126.237:4022/rtp/233.18.204.89:5140$上海市电信
深圳卫视,http://58.38.126.237:4022/rtp/233.18.204.219:5140$上海市电信
北京卫视,http://123.113.182.104:8001/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://123.113.182.104:8001/rtp/239.3.1.140:8001$北京市联通
