央视,#genre#
CCTV11,http://123.13.247.39:4000/rtp/225.1.4.11:1040
CCTV12,http://123.13.247.39:4000/rtp/225.1.4.12:1041
CCTV13,http://123.13.247.39:4000/rtp/225.1.4.13:1042
CCTV14,http://123.13.247.39:4000/rtp/225.1.4.14:1043
CCTV15,http://123.13.247.39:4000/rtp/225.1.4.15:1044
CCTV17,http://123.13.247.39:4000/rtp/225.1.4.227:2507
CCTV4,http://123.13.247.39:4000/rtp/225.1.5.31:1342
CCTV4,http://123.13.247.39:4000/rtp/225.1.5.32:1343
CCTV1,http://220.178.185.180:4000/rtp/238.1.78.166:7200
CCTV2,http://220.178.185.180:4000/rtp/238.1.78.235:7752
CCTV3,http://220.178.185.180:4000/rtp/238.1.78.170:7232
CCTV4,http://220.178.185.180:4000/rtp/238.1.78.236:7760
CCTV5,http://220.178.185.180:4000/rtp/238.1.78.171:7240
CCTV5+,http://220.178.185.180:4000/rtp/238.1.78.237:7768
CCTV6,http://220.178.185.180:4000/rtp/238.1.78.172:7248
CCTV7,http://220.178.185.180:4000/rtp/238.1.78.239:7784
CCTV8,http://220.178.185.180:4000/rtp/238.1.78.173:7256
CCTV9,http://220.178.185.180:4000/rtp/238.1.78.240:7792
CCTV10,http://220.178.185.180:4000/rtp/238.1.78.241:7800
CCTV11,http://220.178.185.180:4000/rtp/238.1.78.206:7502
CCTV12,http://220.178.185.180:4000/rtp/238.1.78.242:7808
CCTV13,http://220.178.185.180:4000/rtp/238.1.79.35:4392
CCTV14,http://220.178.185.180:4000/rtp/238.1.78.243:7816
CCTV15,http://220.178.185.180:4000/rtp/238.1.78.222:7648
CCTV17,http://220.178.185.180:4000/rtp/238.1.78.178:7296
CCTV电视指南,http://220.178.185.180:4000/rtp/238.1.79.53:4560
CCTV央视文化精品,http://220.178.185.180:4000/rtp/238.1.79.54:4568
CCTV女性时尚,http://220.178.185.180:4000/rtp/238.1.79.55:4576
CCTV兵器科技,http://220.178.185.180:4000/rtp/238.1.79.56:4584
CCTV风云足球,http://220.178.185.180:4000/rtp/238.1.79.57:4592
CCTV世界地理,http://220.178.185.180:4000/rtp/238.1.79.60:4616
CCTV怀旧剧场,http://220.178.185.180:4000/rtp/238.1.79.61:4624
CCTV风云剧场,http://220.178.185.180:4000/rtp/238.1.79.62:4632
CCTV第一剧场,http://220.178.185.180:4000/rtp/238.1.79.63:4640
CCTV风云音乐,http://220.178.185.180:4000/rtp/238.1.79.64:4648
CCTV高尔夫网球,http://220.178.185.180:4000/rtp/238.1.79.58:4600
CCTV央视台球,http://220.178.185.180:4000/rtp/238.1.79.59:4608
中国教育CETV,http://220.178.185.180:4000/rtp/238.1.78.158:7136
中国教育CETV,http://220.178.185.180:4000/rtp/238.1.78.106:6720
空中课堂CETV,http://220.178.185.180:4000/rtp/238.1.78.107:6728
CCTV1,http://123.145.74.187:8004/udp/225.0.4.74:7980
CCTV2,http://123.145.74.187:8004/udp/225.0.4.132:7980
CCTV3,http://123.145.74.187:8004/udp/225.0.4.142:7980
CCTV4,http://123.145.74.187:8004/udp/225.0.4.176:7980
CCTV5,http://123.145.74.187:8004/udp/225.0.4.143:7980
CCTV5+,http://123.145.74.187:8004/udp/225.0.4.73:7980
CCTV6,http://123.145.74.187:8004/udp/225.0.4.144:7980
CCTV7,http://123.145.74.187:8004/udp/225.0.4.127:7980
CCTV8,http://123.145.74.187:8004/udp/225.0.4.137:7980
CCTV9,http://123.145.74.187:8004/udp/225.0.4.131:7980
CCTV10,http://123.145.74.187:8004/udp/225.0.4.130:7980
CCTV11,http://123.145.74.187:8004/udp/225.0.4.218:7980
CCTV12,http://123.145.74.187:8004/udp/225.0.4.129:7980
CCTV13,http://123.145.74.187:8004/udp/225.0.4.219:7980
CCTV14,http://123.145.74.187:8004/udp/225.0.4.128:7980
CCTV15,http://123.145.74.187:8004/udp/225.0.4.220:7980
CCTV17,http://123.145.74.187:8004/udp/225.0.4.179:7980
CCTV1,http://183.141.109.16:8686/rtp/233.50.201.118:5140
CCTV2,http://183.141.109.16:8686/rtp/233.50.201.119:5140
CCTV3,http://183.141.109.16:8686/rtp/233.50.201.196:5140
CCTV4,http://183.141.109.16:8686/rtp/233.50.201.4:5140
CCTV5,http://183.141.109.16:8686/rtp/233.50.201.197:5140
CCTV5+,http://183.141.109.16:8686/rtp/233.50.201.220:5140
CCTV6,http://183.141.109.16:8686/rtp/233.50.201.198:5140
CCTV7,http://183.141.109.16:8686/rtp/233.50.201.120:5140
CCTV8,http://183.141.109.16:8686/rtp/233.50.201.199:5140
CCTV9,http://183.141.109.16:8686/rtp/233.50.201.121:5140
CCTV10,http://183.141.109.16:8686/rtp/233.50.201.122:5140
CCTV11,http://183.141.109.16:8686/rtp/233.50.201.11:5140
CCTV12,http://183.141.109.16:8686/rtp/233.50.201.123:5140
CCTV13,http://183.141.109.16:8686/rtp/233.50.201.246:5140
CCTV14,http://183.141.109.16:8686/rtp/233.50.201.124:5140
CCTV15,http://183.141.109.16:8686/rtp/233.50.201.15:5140
CCTV16,http://183.141.109.16:8686/rtp/233.50.201.63:5140
