江苏电信组播,#genre#
CCTV央广购物,http://fengqiang.press:8188/rtp/239.49.0.110:9014
CCTV高网,http://fengqiang.press:8188/rtp/239.49.1.62:6000

CCTV央视文化精品,http://fengqiang.press:8188/rtp/239.49.0.156:9242
CETV1,http://fengqiang.press:8188/rtp/239.49.1.54:6000
CETV1,http://fengqiang.press:8188/rtp/239.49.0.70:8552
CETV2,http://fengqiang.press:8188/rtp/239.49.0.71:8560
CETV2,http://fengqiang.press:8188/rtp/239.49.1.55:6000
CETV4,http://fengqiang.press:8188/rtp/239.49.1.56:6000
CCTVNEWS,http://fengqiang.press:8188/rtp/239.49.0.9:8064

安徽卫视,http://fengqiang.press:8188/rtp/239.49.1.36:6000
安徽卫视,http://fengqiang.press:8188/rtp/239.49.0.52:8408
北京卫视,http://fengqiang.press:8188/rtp/239.49.1.33:6000
北京卫视,http://fengqiang.press:8188/rtp/239.49.0.49:8384
东方卫视,http://fengqiang.press:8188/rtp/239.49.1.32:6000
东方卫视,http://fengqiang.press:8188/rtp/239.49.0.48:8376
东南卫视,http://fengqiang.press:8188/rtp/239.49.1.45:6000
东南卫视,http://fengqiang.press:8188/rtp/239.49.0.61:8480
甘肃卫视,http://fengqiang.press:8188/rtp/239.49.1.238:6000
广东卫视,http://fengqiang.press:8188/rtp/239.49.1.39:6000
广东卫视,http://fengqiang.press:8188/rtp/239.49.0.55:8432
广西卫视,http://fengqiang.press:8188/rtp/239.49.1.40:6000
广西卫视,http://fengqiang.press:8188/rtp/239.49.0.56:8440
贵州卫视,http://fengqiang.press:8188/rtp/239.49.1.52:6000
贵州卫视,http://fengqiang.press:8188/rtp/239.49.0.68:8536
海南卫视,http://fengqiang.press:8188/rtp/239.49.1.41:6000
河北卫视,http://fengqiang.press:8188/rtp/239.49.1.236:6000
河南卫视,http://fengqiang.press:8188/rtp/239.49.1.44:6000
河南卫视,http://fengqiang.press:8188/rtp/239.49.0.60:8472
