
安徽电信-组播1,#genre#
重庆卫视,http://58.212.239.61:10001/rtp/239.49.8.149:6000
黑龙江卫视,http://58.212.239.61:10001/rtp/239.49.8.144:6000
吉林卫视,http://58.212.239.61:10001/rtp/239.49.1.49:6000
青海卫视,http://58.212.239.61:10001/rtp/239.49.1.53:6000
辽宁卫视,http://58.212.239.61:10001/rtp/239.49.1.35:6000
广西卫视,http://58.212.239.61:10001/rtp/239.49.1.40:6000
海南卫视,http://58.212.239.61:10001/rtp/239.49.1.41:6000
四川卫视,http://58.212.239.61:10001/rtp/239.49.1.43:6000
河南卫视,http://58.212.239.61:10001/rtp/239.49.1.44:6000
东南卫视,http://58.212.239.61:10001/rtp/239.49.1.45:6000
山西卫视,http://58.212.239.61:10001/rtp/239.49.1.51:6000
贵州卫视,http://58.212.239.61:10001/rtp/239.49.1.52:6000
云南卫视,http://58.212.239.61:10001/rtp/239.49.1.235:6000
南京新闻综合,http://58.212.239.61:10001/rtp/239.49.0.25:8192
南京科教频道,http://58.212.239.61:10001/rtp/239.49.0.183:9434
南京生活频道,http://58.212.239.61:10001/rtp/239.49.0.26:8200
GCTN英语,http://58.212.239.61:10001/rtp/239.49.0.9:8064
CCTV-1综合,http://58.212.239.61:10001/rtp/239.49.8.19:9614
CCTV-2财经,http://58.212.239.61:10001/rtp/239.49.8.50:9802
CCTV-10科教,http://58.212.239.61:10001/rtp/239.49.8.54:9818
CCTV-12社会与法,http://58.212.239.61:10001/rtp/239.49.8.55:9822
CCTV-14少儿,http://58.212.239.61:10001/rtp/239.49.8.56:9826
CCTV-17农业农村,http://58.212.239.61:10001/rtp/239.49.8.52:9810
江苏卫视,http://58.212.239.61:10001/rtp/239.49.8.16:9602
湖南卫视,http://58.212.239.61:10001/rtp/239.49.8.12:9418
浙江卫视,http://58.212.239.61:10001/rtp/239.49.8.20:9618
北京卫视,http://58.212.239.61:10001/rtp/239.49.8.11:9414
东方卫视,http://58.212.239.61:10001/rtp/239.49.8.17:9606
广东卫视,http://58.212.239.61:10001/rtp/239.49.8.13:9422
山东卫视,http://58.212.239.61:10001/rtp/239.49.8.7:9306
深圳卫视,http://58.212.239.61:10001/rtp/239.49.8.15:9430
重庆卫视,http://58.212.239.61:10001/rtp/239.49.8.57:9830
辽宁卫视,http://58.212.239.61:10001/rtp/239.49.8.48:8000
黑龙江卫视,http://58.212.239.61:10001/rtp/239.49.8.14:9426
